trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.25, 'e': 0.7866278610665535}",25,0,-63.08721471450668,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
82,False,"{'a': 0.25, 'e': 0.7842715137715565}",20,0,-83.74820465727976,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
83,False,"{'a': 0.25, 'e': 0.7819222249254772}",30,0,-162.03120413150853,"{0: 20, 1: 4, 2: 2, 3: 1, 4: 3}",0
84,False,"{'a': 0.25, 'e': 0.7795799733847004}",20,0,-99.38895916391192,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
85,False,"{'a': 0.25, 'e': 0.7772447380689461}",30,0,-91.57247090140346,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
86,False,"{'a': 0.25, 'e': 0.774916497961081}",20,0,-77.84369452663276,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
87,False,"{'a': 0.25, 'e': 0.772595232106928}",20,0,-88.78833363845834,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
88,False,"{'a': 0.25, 'e': 0.7702809196150792}",25,0,-154.05776075546927,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
89,False,"{'a': 0.25, 'e': 0.7679735396567062}",25,0,-88.73511322062123,"{0: 14, 1: 7, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.25, 'e': 0.7656730714653739}",25,0,-62.202822732924176,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
91,False,"{'a': 0.25, 'e': 0.7633794943368531}",20,0,-54.1807044709463,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
92,False,"{'a': 0.25, 'e': 0.7610927876289343}",30,0,-69.86203543252353,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.25, 'e': 0.7588129307612415}",20,0,-27.201652372698273,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
94,False,"{'a': 0.25, 'e': 0.7565399032150474}",20,0,-118.91045064870924,"{0: 8, 1: 4, 2: 5, 3: 3, 4: 0}",0
95,False,"{'a': 0.25, 'e': 0.754273684533089}",25,19,-2.268192547335324,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.25, 'e': 0.7520142543193826}",25,0,-136.2344837233563,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
97,False,"{'a': 0.25, 'e': 0.7497615922390413}",35,0,-257.508414679077,"{0: 19, 1: 4, 2: 6, 3: 2, 4: 4}",0
98,False,"{'a': 0.25, 'e': 0.747515678018091}",25,0,-76.37934187249616,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.25, 'e': 0.7452764914432887}",20,0,-85.72209725043254,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
100,False,"{'a': 0.25, 'e': 0.7430440123619398}",30,0,-85.99979475146606,"{0: 18, 1: 3, 2: 9, 3: 0, 4: 0}",0
101,False,"{'a': 0.25, 'e': 0.7408182206817179}",20,12,-14.879582369230867,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.25, 'e': 0.7385990963704826}",25,0,-78.22043914510466,"{0: 16, 1: 7, 2: 0, 3: 1, 4: 1}",0
103,False,"{'a': 0.25, 'e': 0.7363866194561002}",25,0,-257.95745360734827,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 5}",0
104,False,"{'a': 0.25, 'e': 0.7341807700262634}",20,0,-163.34112057643426,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
105,False,"{'a': 0.25, 'e': 0.7319815282283126}",20,0,-168.3408359960675,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
106,False,"{'a': 0.25, 'e': 0.7297888742690568}",20,0,-85.35365868984898,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
107,False,"{'a': 0.25, 'e': 0.7276027884145955}",25,0,-130.81226462376029,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
